day,truck_id,forest_id,trip_number,total_trips_for_truck,cbm_per_truck,profit
1,123,Ciplac - C.Leroy,1,1,55,1490.5
1,124,Coco beach - AV,1,2,55,3133.8999999999996
1,125,MPB - Mabanda,1,1,55,2938.9312975
1,126,Coco beach - AV,1,2,55,3133.8999999999996
1,127,Ciplac - C.Leroy,1,1,55,1490.5
1,128,Ciplac - C.Leroy,1,1,55,1490.5
1,129,Ciplac - C.Leroy,1,1,55,1490.5
1,130,Somivab -Biliba,1,1,55,2099.2366411499997
2,3,PFM,2,3,45,3458.7
2,8,PFM,2,3,45,3458.7
2,11,Coco beach - AV,2,2,45,2564.1
2,12,HuaJia,2,3,45,2866.05
2,14,Coco beach - AV,2,2,45,2564.1
2,15,Coco beach - AV,2,2,45,2564.1
2,17,PFM,2,3,45,3458.7
2,19,PFM,2,3,45,5188.05
2,20,HuaJia,2,3,45,1910.7
2,21,HuaJia,2,3,45,1910.7
2,22,HuaJia,2,3,45,1910.7
2,27,PFM,2,3,45,5188.05
2,28,Coco beach - AV,2,2,45,2564.1
2,29,PFM,2,3,45,3458.7
2,31,PFM,2,3,45,5188.05
2,32,Coco beach - AV,2,2,45,2564.1
2,34,Coco beach - AV,2,2,45,2564.1
2,37,HuaJia,2,3,45,1910.7
2,39,Coco beach - AV,2,2,45,2564.1
2,40,PFM,2,3,45,3458.7
2,41,PFM,2,2,45,1729.35
2,44,PFM,2,3,45,3458.7
2,47,PFM,2,3,45,3458.7
2,48,PFM,2,3,45,3458.7
2,49,PFM,2,3,45,3458.7
2,52,PFM,2,3,55,4227.3
2,55,PFM,2,3,55,6340.95
2,58,Coco beach - AV,2,2,55,3133.8999999999996
2,59,HuaJia,2,3,55,2335.3
2,61,PFM,2,2,55,2113.65
2,66,HuaJia,2,2,55,1167.65
2,71,HuaJia,2,2,55,1167.65
2,73,HuaJia,2,3,55,3502.9500000000003
2,78,PFM,2,3,55,6340.95
2,82,PFM,2,3,55,4227.3
2,84,Coco beach - AV,2,2,55,3133.8999999999996
2,85,PFM,2,3,55,4227.3
2,90,PFM,2,3,55,4227.3
2,91,HuaJia,2,3,55,3502.9500000000003
2,93,HuaJia,2,3,55,3502.9500000000003
2,95,Coco beach - AV,2,2,55,3133.8999999999996
2,97,PFM,2,3,55,6340.95
2,101,Coco beach - AV,2,2,55,3133.8999999999996
2,106,HuaJia,2,3,55,3502.9500000000003
2,124,Coco beach - AV,2,2,55,3133.8999999999996
2,126,Coco beach - AV,2,2,55,3133.8999999999996
3,3,PFM,3,3,45,3458.7
3,8,PFM,3,3,45,3458.7
3,12,HuaJia,3,3,45,2866.05
3,17,PFM,3,3,45,3458.7
3,19,PFM,3,3,45,5188.05
3,20,PFM,3,3,45,1729.35
3,21,PFM,3,3,45,1729.35
3,22,PFM,3,3,45,1729.35
3,27,PFM,3,3,45,5188.05
3,29,PFM,3,3,45,3458.7
3,31,PFM,3,3,45,5188.05
3,37,PFM,3,3,45,1729.35
